text,label
The sailors rode the breeze clear of the rocks.,1
The weights made the rope stretch over the pulley.,1
The mechanical doll wriggled itself loose.,1
"If you had eaten more, you would want less.",1
"As you eat the most, you want the least.",0
"The more you would want, the less you would eat.",0
"I demand that the more John eat, the more he pays.",0
"Mary listens to the Grateful Dead, she gets depressed.",1
"The angrier Mary got, the more she looked at pictures.",1
"The higher the stakes, the lower his expectations are.",1
"The more Fred is obnoxious, the less attention you should pay to him.",1
John was lots more obnoxious than Fred.,1
"The more people you give beer to, the more people get sick.",1
"The more does Bill smoke, the more Susan hates him.",0
"The more pictures of him that appear in the news, the more embarrassed John becomes.",1
"Every senator seems to become more corrupt, as he talks to more lobbyists.",1
Who does John visit Sally because he likes?,0
Marianne did not leave.,1
He could not have been working.,1
He can not have been working.,1
You will believe Bob.,1
John has not kissed Mary.,1
I said that never in my life had I seen a place like Bangor.,1
Mickey looked up it.,0
There tended to be a lot of discussion.,1
John tried to be a good boy.,1
John is eager.,1
We want John to win.,1
The box contained the ball from the tree.,0
The tube was escaped by gas.,0
Water bubbled up out of the kettle.,1
The tub leaked water.,1
What the water did to the bottle was fill it.,0
What the water did to the whole bottle was fill it.,0
The tank leaked the fluid free.,1
John lay the ball in the box.,1
John owns the book.,1
We persuaded Mary to leave and Sue to stay.,1
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",1
Mary beautifully plays the violin.,0
"Clearly, John probably will immediately learn French perfectly.",1
Sue gave to Bill a book.,0
The men will all leave.,1
John went home.,1
They represented seriously to the dean Mary as a genuine linguist.,0
Us love they.,0
It is nice to go abroad.,1
Mary intended John to go abroad.,0
I remembered having kissed Mary.,1
"I can't believe Fred won't, either.",1
"John wants to read Fred's story, and I also want to.",1
"We wanted to invite someone, but we couldn't decide who to.",0
"Mary will read Fred's story, and Joe will read Holly's.",1
"Mary claimed that eating cabbage, Holly shouldn't.",1
Mary came to be introduced by the bartender and I also came to be.,0
"If I can, I will work on it.",1
"Joe's neuroses bother his patrons, and Sally does too.",1
"I know which book José didn't read for class, and which book Lilly did it for him.",0
"This is the book which Bob reviewed, and this is the one which Fred won't do it.",0
"I know which book Mag read, and which book Bob said that you hadn't.",1
"I know which book Mag read, and which book Bob read my report that you hadn't.",0
I'm sure I would like him to eat fruit more than I would cookies.,1
Rusty talked about himself only after Mary did talk about him.,1
Fred talked about everything before Rusty did talk about something.,1
John often meets Mary.,1
The problem perceives easily.,0
A hundred men surrounded the fort.,1
We elected me.,1
Which report that John was incompetent did he submit?,0
Mary has always preferred lemons to limes.,1
He let the cats which were whining out.,1
What did Bill buy?,1
Mary saw the boy walking toward the railroad station.,1
A proof that the claim had been made was given that John had lied.,0
He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,1
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,0
I want that Bill left to remain a secret.,0
I know a man who Tom drives as drives.,0
"Drowning cats, which is against the law, are hard to rescue.",0
Muriel said nothing else than that she had been insulted.,1
Himself is understood by Rutherford.,0
I feel that Arch will show up.,1
The proof this set is recursive is difficult.,0
The madrigals which Henry plays the lute and sings sound lousy.,0
"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",1
Where did you go and who ate what?,1
Which boy's did we elect guardian's employer president?,0
How sane is Peter?,1
I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.,1
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,0
Who is she trying to make up to now?,1
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,0
Mike talked about politics yesterday to my friends.,1
It was expected by the reporters that the principal would fire some teacher.,1
Which hat did Mike quip that she never wore?,0
Which girl did Mike quip never wore this hat?,0
We donated wire for the convicts to build cages with.,1
I won't have some money.,0
Do you believe the claim that somebody was looking for something?,1
I won't ask you to believe that he tried to force me to give her any money.,1
That Sam sometimes didn't sleep must have pleased somebody.,1
I talked to Winston about himself.,1
"That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.",1
I'll work on it if Sam will be working on it.,1
I'll work on it if I can.,1
Here's a knife with which for you to cut up the onions.,0
"Fluffy is sick, which not everybody knows.",1
Maxwell is quite a doctor.,1
"The younger woman might have been tall and, and the older one definitely was, blond.",0
"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.",1
I have to try to finish grading some papers.,1
The socks are ready for for you to put on to be planned.,0
It is easy to play sonatas on this violin.,1
This violin is difficult to play sonatas on.,1
My mother is easy to please my father and.,0
"Poor Bill, it had started to rain and he had no umbrella.",1
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0
"Every student, and he wears socks, is a swinger.",0
That girl was given my binoculars by him.,1
Bill didn't allege that Roger had eaten anything.,1
Nobody who hates to eat anything should work in a delicatessen.,1
Everybody around here who ever buys anything on credit talks in his sleep.,1
I can't remember the name of somebody who had misgivings.,0
"No writer, and no playwright, meets in Vienna.",0
"No writer, nor any playwright, meets in Vienna.",0
That you will marry any student is not certain.,1
Felicia kicked the ball off the bench.,1
I sent the package halfway around the world.,1
Sam gave the ball out of the basket.,0
Sam offered the ball out of the basket.,0
Park Square has a festive air.,1
The worker will have a job.,1
No one can forgive that comment to you.,0
"We launched the rocket to the moon, but it blew up before it got there.",1
"Sarah promised Catherine her old car, but then gave it to her son instead.",1
I lent the book partway to Tony.,0
The farmer loaded the cart with apples.,1
The farmer dumped the cart with apples.,0
Martha carved the baby a toy out of wood.,1
The bread cuts easily.,1
Janet broke Bill on the finger.,0
Janet broke the cup.,1
The visitor rang the bell.,1
We pulled free.,1
That movie always shocks people.,1
That movie always shocks.,1
Sharon came the room.,0
Bill sent a package to Tom.,1
That acorn will grow into an oak tree.,1
He turned into a frog.,1
I mixed the sugar into the butter.,1
Brian threw the fence with the stick.,0
Mira condemned Terry for the accident.,1
We investigated the area for bombs.,1
I sensed his eagerness.,1
They praised the dedication in the volunteers.,0
The earth was believed to be round.,1
Sarah smiled a charming smile.,1
Sandra beamed a cheerful welcome.,1
You've really lived it up.,1
Paperback books lift onto the table easily.,0
The books lifted onto the table.,0
Jessica loaded boxes under the wagon.,1
Jessica loaded boxes on the wagon.,1
Jessica crammed boxes at the truck.,0
Lora buttered at the toast.,0
Carla shoveled the walk.,1
Nora sent the book.,1
Nora sent Peter the book.,1
Carla slid the book.,1
Carla slid at the book.,0
Amanda carried the package to Pamela.,1
Packages drive easily to New York.,0
The chair pushed.,0
We offered a job to her.,1
A job offered.,0
Brown presented a plaque to Jones.,1
Carmen bought Mary a dress.,1
Carmen obtained the spare part at the hardware store.,1
Michelle kept the desk with the papers.,0
Frances hid the presents in the drawer.,1
The needle poked the cloth.,1
Carrie touched that cat.,1
Herman whipped the sugar and the cream.,0
Linda taped the picture to the wall.,1
Linda taped the picture onto the wall.,1
The child and her mother clung together.,1
This flyer and that flyer differ.,1
This flyer and that flyer differ apart.,0
The jeweller scribbled the contract with his name.,0
The gardener grew that acorn into an oak tree.,1
I shaped a loaf.,0
The children amused.,0
Susan whispered the news.,1
Susan whispered at Rachel.,1
Ellen said that melons were selling well.,1
Ellen said about the present conditions.,0
Ellen warned Helen against skating on thin ice.,1
Cynthia nibbled on the carrot .,1
Cynthia chewed.,0
Paul laughed at Mary.,1
Linda winked her lip.,0
My heart is pounding me.,0
Sharon fainted from hunger.,1
The witch poisoned the children.,1
A grandfather clock ticked in the hallway.,1
I squeaked the door.,0
Over the fire there bubbled a fragrant stew.,1
Soaring temperatures are predicted for this weekend.,1
The fort fluttered with many flags.,0
The voices echoed in the hall.,1
The stream twists through the valley.,1
There presented itself a wonderful opportunity yesterday.,0
A wonderful opportunity presented itself to him yesterday.,1
Out of the box jumped a little white rabbit.,1
Penny skated around the rink.,1
Jackie accompanied Rose.,1
many information was provided.,0
John offers many advice.,0
The cake that Jones got was more delicious than the one that Smith got.,1
We recommend to eat less cake and pastry.,1
I saw that gas can explode.,1
He washed her.,1
Wash you!,0
They have no in.,0
Some my jobs are in jeopardy.,0
It was the policeman met that several young students in the park last night.,0
did the policeman meet in the park?,1
John put old books in the box.,1
The monkeys proud of their leader.,0
John sounded very.,0
I don't know if I should agree.,1
John bought a book on the table.,1
John called the president a fool.,1
I forgot how good beer tastes.,1
This teacher is a genius.,1
A good friend is remained to me by him.,0
John ate his noodle quietly.,1
A smith hammered the metal.,1
Sandy removed her ballet shoes.,1
This week will be a difficult one for us.,1
Benny worked in a shoe factory when he was a student.,1
Everyone hoped that she would sing.,1
This proved a decisive factor.,1
The crocodile devoured the doughnut.,1
John is afraid of Bill.,1
John put under the bathtub.,0
John placed Kim behind the garage.,1
Kim depends for Sandy.,0
John put the book in the box.,1
John taught English Syntax to new students.,1
John regards Bill as a good friend.,1
Kim put in the box.,0
The chickens seem fond of the farmer.,1
The rules require that the executives be polite.,1
That Fred was unpopular nominated Bill.,0
They were taking a hard look at possible FTA.,1
John paid me against the book.,0
The committee will study the feasibility of setting up a national computer network.,1
We made them be rude.,1
"After reading the pamphlet, Judy threw it into the garbage can.",1
Students studying English reads Conrad's Heart of Darkness while at university.,0
I read some of the book.,1
Most of the fruit is rotten.,1
Neither of students failed.,0
I drank some of water.,0
It is a golden hair.,1
The boy in the doorway waved to his father.,1
"That dog is so ferocious, it even tried to bite itself.",1
He washed yourself.,0
John is easy to please Kim.,0
There seemed to be intelligent.,0
John tried to please Stephen.,1
We believed John to be a fountain in the park.,0
It tries to leave the country.,0
John tries to leave the country.,1
Under the bed seems to be a fun place to hide.,1
There is believed to be sheep in the park.,0
I hope to would study in France.,0
John can kick the ball.,1
John will rain tomorrow.,0
We expect there to will rain.,0
John was found in the office.,1
Did the child be in the school?,0
It did not rain.,1
John wants not to leave the town.,1
"Mary likes to tour art galleries, but Bill hates to.",1
They needn't take this exam.,1
Ann may spend her vacation in Italy.,1
"They love to play golf, but I do not.",1
"George has spent a lot of money, hasn't he?",1
"As a statesman, scarcely could he do anything worth mentioning.",1
We never found any of the unicorns.,1
One of Korea's most famous poets wrote these lines.,1
Somebody apparently struck the unidentified victim during the early morning hours.,1
The car was driven.,1
Ricky can be relied on.,1
The bed was slept in.,1
A pound was weighed by the book.,0
Who do you think Tom saw?,1
he had spent five thousand dollars.,1
Fed knows which politician her to vote for.,0
How did you guess that he fixed the computer?,1
The committee knows whose efforts to achieve peace the world should honor.,1
Which house does your friend live?,0
the baker from whom I bought these bagels left.,1
I found the place where we can relax.,1
Jack is the person with whom Jenny fell in love with.,0
There is a bench to sit on.,1
I met the man who grows peaches.,1
Which topic did you choose without getting his approval?,1
Which topic did you get bored because Mary talked about?,0
That is the reason why he resigned.,1
It bothers me that John coughs.,1
To please John is easy.,1
Kim is eager to please Tom.,1
That we invaded Iraq really bites.,1
It annoys me that Fido barks.,1
Who achieved the best result was Angela.,0
It was the peasant girl who got it.,1
That kind of person is hard to find anyone to look after.,1
A sick owl doesn't hunt mice.,1
Each candidate who has interest in semantics will be admitted to the department.,1
Each author whose contribution is written in any language other than English will provide a summary in English.,1
I'm sure we even got these tickets!,1
I'm even sure we got these tickets!,1
It's not because I have any sympathy for urban guerillas that I helped him.,1
It isn't because Sue said anything bad about me that I'm angry.,1
"That he was hungry, John whined.",0
I gave Mary after the party a book.,0
"Because she's so pleasant, as for Mary I really like her.",0
"Though he may hate those that criticize Carter, it doesn't matter.",1
With no job would John be happy.,1
I have much of the manuscript left to type.,1
He's a more reliable man.,1
Any trouble is what I don't want.,0
They may grow as high as bamboo.,1
Some of them made as many errors as 20.,1
Sally kissed himself.,0
Drew believes I think Rosie loves magazine ads.,1
"Dave, Dan, Erin, Jaime, and Alina left.",1
"Hopefully, we'll make it through the winter without snow.",1
Blue leather shows herself that Betsy is pretty.,0
Gwen hit the baseball.,1
I hit that you knew the answer.,0
I've lost my wallet or I've lost my mind.,1
It was a brand new car that he bought.,1
He likes cookies and he hates crumb cake.,1
They chased the man with the car.,1
I didn't have a red cent.,1
the book of poems and from Blackwell takes a very long time to read.,0
the one with a red cover takes a very long time to read.,1
John has a fear of dogs.,1
The building's the roof is leaking.,0
the panther's the coat is dark black.,0
Colin asked if they could get a mortgage.,1
The man I saw get into the cab robbed the bank.,1
I know you eat asparagus.,1
John's drum will always bother me.,1
An evil thought struck Dave.,1
In the classroom John put the book on the table.,1
Phillip gave the medal to the soldier.,1
Heidi thinks that Andy to eat salmon flavored candy bars.,0
Heidi thinks that Andy should eat salmon flavored candy bars.,1
He danced.,1
Did Calvin his homework?,0
Sylvia was slapping Jeff upside the head in martial arts class.,1
"If I am a rich man, I'd buy a diamond ring.",0
"If he were a rich man, he'd buy a diamond ring.",1
John is likely to leave.,1
The manager laughed.,1
Was sunk.,0
Who did you think kissed the gorilla?,1
Have you seen my model airplane collection?,1
It seems that Lucy was mugged.,1
I ate a salad that was filled with lima beans.,1
There were four men arriving at the station when I pulled up.,1
Jean is reluctant to dance.,1
I want her to dance.,1
Jean persuaded Robert.,1
Jean wants Bill to do the Macarena.,1
The children admire their mother.,1
Who has Peter talked with?,1
Heidi likes her violin.,1
John thinks that Mary loves himself.,0
Which pictures of himself does John like?,1
Any owl hunts mice.,1
Any man didn't eat dinner.,0
A pilot could be flying this plane.,1
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",1
Anybody who attended last week's huge rally signed the petition.,1
"Any tiger has orange fur, marked with black stripes.",1
"Any albino tiger has orange fur, marked with black stripes.",1
You must pick any flower you see.,1
Any pilot on duty today could be flying this plane.,1
"You may pick every flower, but leave a few for Mary.",0
The Dodgers beat the Red Sox and were beaten by the Giants.,1
In which car was the man seen?,1
The man who Mary loves and Sally hates computed my tax.,1
The kennel which Mary made and Fido sleeps has been stolen.,0
